Artist,Title
3 Ring Circus,Groovin’ In The Sunshine
Camel,Mirage
Carlos Santana and Buddy Miles,Live
Genesis,A Trick of the Tail
Genesis,Wind and Wuthering
Genesis,The Lamb Lies Down on Broadway
Mashmakan,Self Titled
Moody Blues,Long Distance Voyager
Moody Blues,Days of Future Past
Moody Blues,Long Distance Voyager
Moody Blues,Seventh Sojourn
Nektar,Remember the Future
Robin Trower,For Earth Below
Robin Trower,Victims of the Fury
Robin Trower,Long Misty Days
Robin Trower,Caravan To Midnight
Robin Trower,In City Dreams
