Artist,Title ,Box
10cc,Deceptive Bends,4
10CC,Ten out of Ten,4
A Fist Full Of Dollars,Soundtrack,8
Al Cherny,Big Fiddle Sound,8
Amy Stewart,Knock On Wood,9
Andre Gagnon,The St Laurent,5
Andy De Jarlis,Canadian Old Time Music,5
Andy De Jarlis,Swing Your Partners,5
Anne Murray,Christmas Wishes,5
Anne Murray,There’s a Hippo In My Tub,5
Aurora Singers,Self Titled,5
Average White Band,Feel No Fret,2
Babara Streisand,Guilty,7
Barbara Streisand,Lazy Afternoon,3
Barclay James Harvest,Octoberon,1
Barry Foreman,Fun ‘n Fiddle With Foreman,8
Barry White,The Message Is Love,9
Beegees,Main Course,9
Beverly Hills Cop,Soundtrack,7
Beverly Hills Cop,Soundtrack,7
Bill and Sue Hillman,The Hillman Express,5
Bill Cosby,Revenge,5
Billy Joel,An Innocent Man,7
Billy Martin,Strawberry Soul,4
Billy Vaughn,Christmas Songs,5
Bing Crosby,Merry Christmas,5
Bobby Vee,New Sound From England,5
Bobby Vinton,My Elusive Dreams,5
Boney M,Christmas Album,7
Boney M,Night Flight To Venus,9
Boz Skaggs and Band,Self Titled,4
Bruce Cockburn,Humans,7
Burton Cummings,Dream of a Child,2
Burton Cummings,My Own Way To Rock,1
Burton Cummings,Self Titled,1
Candles,Bullfrogs and Butterflies,5
Carly Simon,Boys in the Trees,3
Charlie Daniels Band,Full Moon,8
Charlie Pride,Best Of,8
Charlie Rich,Classic Rich,8
Chet Atkins,Yestergroovin’,8
Chris De Burgh,Best Moves,7
Chris De Burgh,Eastern Wind,7
Chris De Burgh,The Getaway,7
Cristy Lane,Amazing Grace,5
Crystal Gayle,These Days,7
Dan Fogelberg,Netherlands,3
Dan Hill,Hold On,1
Deja Vu,Get It Up For Love,9
Dionne Warwick,I’ll Never Fall In Love Again,9
Dire Straights,Extended Dance Play,4
Disciples of Power,Power Trap,4
Don Messer,More More More,5
Don Messer,Tribute To Don Messer,5
Donna Fargo,The Happiest Girl in The Whole USA,8
Donna Summer,Once Upon A Time,9
Doug Kershaw,Alive and Pickin’,8
Eddy Arnold,I’m Throwing Rice,8
Eddy Arnold,Self Titled,8
Eddy Grant,Killer On The Rampage,7
Elton John,Victim of Love,4
Eugene Laderoute,Fiddle Fire,5
Fischer Choir,Introducing,5
FLashdance,Soundtrack,7
Floyd Cramer,Collector’s Series,5
Frank Mills,A Special Christmas,5
Frank Mills,Self Titled,5
